"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","316.59","316.95","319.60","315.62","","-0.18%"
"10/25/2023","317.17","322.20","322.20","317.08","","-0.91%"
"10/24/2023","320.08","315.67","321.32","314.70","","1.05%"
"10/23/2023","316.77","312.93","317.48","310.90","","0.66%"
"10/20/2023","314.70","316.59","317.08","313.28","","-1.06%"
"10/19/2023","318.05","315.98","318.89","315.05","","0.39%"
"10/18/2023","316.82","317.88","320.48","315.80","","0.24%"
"10/17/2023","316.06","315.40","317.26","312.09","","-0.10%"
"10/16/2023","316.37","316.29","318.32","314.78","","0.31%"
"10/13/2023","315.40","316.37","319.38","314.21","","-0.56%"
"10/12/2023","317.17","319.64","322.25","316.51","","-0.58%"
"10/11/2023","319.02","321.45","323.53","318.80","","-0.61%"
"10/10/2023","320.97","323.93","324.10","317.21","","-0.33%"
"10/09/2023","322.03","324.01","324.37","321.63","","0.51%"
"10/06/2023","320.39","314.96","321.89","313.86","","2.13%"
"10/05/2023","313.72","317.12","318.23","313.50","","-1.03%"
"10/04/2023","316.99","318.05","319.91","313.59","","-0.88%"
"10/03/2023","319.82","319.11","321.76","316.46","","-0.56%"
"10/02/2023","321.63","330.15","332.23","320.39","","-2.57%"
"09/29/2023","330.11","329.40","334.30","329.00","","0.80%"
"09/28/2023","327.50","322.20","328.08","320.22","","1.97%"
"09/27/2023","321.19","322.47","322.64","320.48","","-0.34%"
"09/26/2023","322.29","325.03","325.16","320.48","","-0.57%"
"09/25/2023","324.15","326.27","326.66","322.29","","-0.70%"
"09/22/2023","326.44","326.84","330.42","326.35","","0.00%"
"09/21/2023","326.44","330.28","330.95","321.05","","-2.12%"
"09/20/2023","333.51","332.01","334.70","330.51","","0.77%"
"09/19/2023","330.95","332.76","333.16","329.27","","-0.85%"
"09/18/2023","333.77","335.10","337.62","333.16","","-0.58%"
"09/15/2023","335.72","338.01","340.18","334.57","","-0.54%"
"09/14/2023","337.53","334.92","339.25","333.86","","0.75%"
"09/13/2023","335.01","335.01","337.31","333.51","","0.03%"
"09/12/2023","334.92","335.76","336.82","333.42","","-0.39%"
"09/11/2023","336.25","330.02","336.64","329.89","","2.44%"
"09/08/2023","328.25","331.04","331.48","327.86","","-1.21%"
"09/07/2023","332.27","334.66","334.97","330.33","","-0.63%"
"09/06/2023","334.39","337.84","339.74","334.04","","-1.62%"
"09/05/2023","339.91","337.79","340.57","335.23","","-0.09%"
"09/01/2023","340.22","340.75","345.17","339.82","","0.78%"
"08/31/2023","337.57","339.07","339.38","335.58","","-0.57%"
"08/30/2023","339.51","338.54","340.04","336.73","","0.13%"
"08/29/2023","339.07","335.19","339.12","334.52","","1.24%"
"08/28/2023","334.92","336.07","336.60","333.86","","0.21%"
"08/25/2023","334.22","335.23","338.19","332.63","","-0.25%"
"08/24/2023","335.05","337.44","339.07","334.66","","-1.15%"
"08/23/2023","338.94","335.63","339.29","334.97","","1.29%"
"08/22/2023","334.61","331.92","336.47","331.34","","0.91%"
"08/21/2023","331.61","330.77","332.40","328.83","","0.37%"
"08/18/2023","330.37","330.68","331.17","327.28","","0.29%"
"08/17/2023","329.40","325.47","331.87","325.03","","0.92%"
"08/16/2023","326.40","327.46","329.49","325.78","","-0.27%"
"08/15/2023","327.28","332.23","333.95","326.40","","-1.41%"
"08/14/2023","331.96","331.08","333.95","329.22","","-0.03%"
"08/11/2023","332.05","335.42","335.42","330.08","","-1.06%"
"08/10/2023","335.59","336.95","341.00","335.38","","-0.39%"
"08/09/2023","336.91","337.45","340.79","336.48","","0.41%"
"08/08/2023","335.55","339.98","342.03","332.05","","-1.77%"
"08/07/2023","341.60","343.65","345.30","340.76","","-0.84%"
"08/04/2023","344.50","348.55","348.86","340.80","","-0.82%"
"08/03/2023","347.35","343.61","347.48","340.36","","1.46%"
"08/02/2023","342.36","349.04","349.04","341.60","","-1.66%"
"08/01/2023","348.15","356.75","357.32","347.79","","-2.48%"
"07/31/2023","357.01","351.27","357.55","348.15","","2.08%"
"07/28/2023","349.75","343.96","350.29","343.43","","1.32%"
"07/27/2023","345.21","349.89","351.27","343.61","","-0.68%"
"07/26/2023","347.57","348.10","348.42","345.43","","-0.34%"
"07/25/2023","348.77","344.50","351.09","344.05","","1.56%"
"07/24/2023","343.43","340.93","343.83","336.97","","0.98%"
"07/21/2023","340.09","342.67","344.99","339.38","","-0.43%"
"07/20/2023","341.56","341.78","346.28","340.76","","0.54%"
"07/19/2023","339.73","340.76","340.93","336.88","","-0.40%"
"07/18/2023","341.11","342.36","343.29","338.80","","-0.38%"
"07/17/2023","342.40","347.35","348.42","339.55","","-2.26%"
"07/14/2023","350.33","350.96","351.36","347.75","","-0.18%"
"07/13/2023","350.96","343.25","351.85","342.36","","2.26%"
"07/12/2023","343.21","336.84","343.83","335.50","","2.31%"
"07/11/2023","335.46","338.17","340.44","334.25","","-0.49%"
"07/10/2023","337.10","336.57","337.24","333.36","","0.07%"
"07/07/2023","336.88","333.45","337.37","331.89","","1.27%"
"07/06/2023","332.65","335.90","336.35","331.63","","-0.90%"
"07/05/2023","335.68","335.95","337.46","332.47","","-0.67%"
"07/03/2023","337.95","337.91","339.11","335.28","","0.92%"
"06/30/2023","334.88","330.74","335.41","330.33","","1.64%"
"06/29/2023","329.49","332.96","333.27","328.06","","-1.16%"
"06/28/2023","333.36","336.93","338.44","331.27","","-1.21%"
"06/27/2023","337.46","340.89","342.63","336.48","","-0.42%"
"06/26/2023","338.89","342.00","342.85","337.19","","-0.29%"
"06/23/2023","339.87","346.19","346.50","338.31","","-2.18%"
"06/22/2023","347.44","348.33","352.96","346.06","","-0.26%"
"06/21/2023","348.33","347.21","349.17","343.25","","0.44%"
"06/20/2023","346.81","343.21","347.97","342.85","","-0.13%"
"06/16/2023","347.26","347.17","349.98","346.41","","-0.14%"
"06/15/2023","347.75","341.02","347.88","340.18","","0.71%"
"06/14/2023","345.30","342.45","345.57","339.38","","0.92%"
"06/13/2023","342.14","335.66","344.42","334.91","","2.03%"
"06/12/2023","335.35","335.95","337.50","333.90","","-0.94%"
"06/09/2023","338.51","337.79","342.20","336.75","","-0.13%"
"06/08/2023","338.94","335.02","339.09","333.58","","1.03%"
"06/07/2023","335.49","337.45","340.26","334.19","","-0.33%"
"06/06/2023","336.60","335.04","337.58","332.18","","0.01%"
"06/05/2023","336.56","331.82","337.99","329.23","","1.09%"
"06/02/2023","332.94","331.33","338.30","330.97","","0.44%"
"06/01/2023","331.47","329.41","333.25","328.38","","2.03%"
"05/31/2023","324.86","325.62","326.60","323.61","","-0.71%"
"05/30/2023","327.18","329.23","329.86","324.05","","-0.52%"
"05/26/2023","328.88","320.75","329.05","320.66","","2.62%"
"05/25/2023","320.48","318.43","323.07","317.22","","0.74%"
"05/24/2023","318.11","322.40","324.14","316.77","","-2.54%"
"05/23/2023","326.42","329.32","329.59","323.61","","-0.83%"
"05/22/2023","329.14","331.29","332.14","327.89","","-1.26%"
"05/19/2023","333.34","328.70","336.47","328.38","","1.15%"
"05/18/2023","329.55","334.59","336.24","328.88","","-1.73%"
"05/17/2023","335.35","327.98","336.91","326.64","","2.39%"
"05/16/2023","327.54","335.17","335.17","326.73","","-2.24%"
"05/15/2023","335.04","331.78","337.36","330.62","","0.60%"
"05/12/2023","333.03","330.75","334.99","329.99","","0.50%"
"05/11/2023","331.38","342.05","344.06","329.05","","-3.41%"
"05/10/2023","343.08","348.21","348.75","342.05","","-1.55%"
"05/09/2023","348.48","348.79","350.09","346.74","","-0.71%"
"05/08/2023","350.98","347.59","353.57","347.59","","1.20%"
"05/05/2023","346.83","344.55","348.88","342.01","","0.52%"
"05/04/2023","345.04","347.77","349.02","342.32","","0.47%"
"05/03/2023","343.43","344.55","345.76","342.14","","-0.45%"
"05/02/2023","345.00","350.67","351.79","344.55","","-1.82%"
"05/01/2023","351.38","346.07","357.68","345.76","","1.12%"
"04/28/2023","347.50","349.69","349.91","344.60","","0.17%"
"04/27/2023","346.92","342.81","348.08","340.93","","0.58%"
"04/26/2023","344.91","348.03","349.15","344.86","","-0.09%"
"04/25/2023","345.22","354.78","354.78","345.22","","-2.51%"
"04/24/2023","354.11","355.85","357.77","353.71","","-0.55%"
"04/21/2023","356.07","359.47","360.54","355.72","","-1.14%"
"04/20/2023","360.18","364.07","364.69","358.93","","-1.19%"
"04/19/2023","364.51","364.29","364.96","360.23","","-0.38%"
"04/18/2023","365.90","364.92","367.02","363.22","","0.66%"
"04/17/2023","363.49","366.17","369.16","362.91","","-0.89%"
"04/14/2023","366.75","370.81","373.87","365.61","","-0.37%"
"04/13/2023","368.10","363.42","369.64","362.05","","0.99%"
"04/12/2023","364.50","359.84","364.70","356.06","","1.47%"
"04/11/2023","359.20","356.36","362.21","356.36","","1.08%"
"04/10/2023","355.37","358.54","361.00","354.25","","-0.97%"
"04/06/2023","358.85","358.45","360.19","354.88","","0.73%"
"04/05/2023","356.26","354.39","357.07","350.95","","0.39%"
"04/04/2023","354.88","360.64","363.81","352.55","","-1.84%"
"04/03/2023","361.54","364.13","365.82","360.64","","-1.20%"
"03/31/2023","365.91","366.76","366.94","359.43","","0.07%"
"03/30/2023","365.65","363.28","369.44","363.10","","0.12%"
"03/29/2023","365.20","365.07","369.31","361.89","","0.02%"
"03/28/2023","365.11","367.08","367.43","362.79","","0.17%"
"03/27/2023","364.48","363.50","365.78","359.61","","0.09%"
"03/24/2023","364.17","366.54","370.70","362.03","","-1.18%"
"03/23/2023","368.51","361.76","368.73","359.57","","1.95%"
"03/22/2023","361.45","357.42","362.56","355.23","","1.26%"
"03/21/2023","356.93","352.37","360.51","351.12","","1.08%"
"03/20/2023","353.13","350.19","353.89","344.64","","1.52%"
"03/17/2023","347.86","350.41","353.13","345.94","","0.72%"
"03/16/2023","345.36","347.10","348.53","341.56","","0.56%"
"03/15/2023","343.44","359.03","359.84","343.21","","-4.00%"
"03/14/2023","357.74","359.21","362.03","356.13","","-1.25%"
"03/13/2023","362.25","358.45","364.08","350.59","","0.57%"
"03/10/2023","360.19","356.75","363.01","354.61","","-0.21%"
"03/09/2023","360.95","359.35","362.29","358.23","","0.30%"
"03/08/2023","359.88","355.68","363.86","354.07","","1.31%"
"03/07/2023","355.23","364.31","364.57","354.61","","-2.78%"
"03/06/2023","365.38","363.50","365.47","358.27","","0.53%"
"03/03/2023","363.46","365.07","367.97","363.23","","-0.22%"
"03/02/2023","364.26","370.16","370.47","361.76","","-2.02%"
"03/01/2023","371.77","366.99","372.17","366.58","","1.72%"
"02/28/2023","365.47","358.50","365.82","356.84","","1.96%"
"02/27/2023","358.45","355.19","358.85","351.88","","1.47%"
"02/24/2023","353.27","363.50","364.44","353.00","","-2.54%"
"02/23/2023","362.47","372.75","373.11","361.54","","-3.08%"
"02/22/2023","374.00","374.09","375.16","369.49","","-0.64%"
"02/21/2023","376.41","371.32","376.46","368.55","","2.61%"
"02/17/2023","366.85","365.69","367.21","361.94","","-0.40%"
"02/16/2023","368.33","362.47","369.09","361.18","","2.49%"
"02/15/2023","359.39","365.07","365.74","357.16","","-1.70%"
"02/14/2023","365.60","363.86","368.42","362.12","","0.45%"
"02/13/2023","363.95","360.50","364.52","359.52","","1.03%"
"02/10/2023","360.25","363.10","366.04","359.24","","-1.92%"
"02/09/2023","367.32","364.17","369.22","363.73","","1.51%"
"02/08/2023","361.84","365.57","369.04","360.13","","-1.10%"
"02/07/2023","365.89","363.42","366.20","358.89","","1.13%"
"02/06/2023","361.81","363.51","365.30","358.08","","-0.53%"
"02/03/2023","363.73","367.81","370.82","363.51","","-0.84%"
"02/02/2023","366.83","374.49","376.20","366.42","","-0.49%"
"02/01/2023","368.62","376.60","378.04","368.13","","-2.72%"
"01/31/2023","378.93","375.03","379.02","369.34","","0.57%"
"01/30/2023","376.78","377.32","378.30","374.27","","-0.49%"
"01/27/2023","378.62","382.47","383.86","374.27","","-1.05%"
"01/26/2023","382.65","380.99","383.10","379.65","","0.54%"
"01/25/2023","380.59","381.76","382.65","377.90","","-0.09%"
"01/24/2023","380.95","383.51","383.95","378.13","","-0.19%"
"01/23/2023","381.67","384.81","385.52","378.98","","0.12%"
"01/20/2023","381.22","381.62","383.19","377.23","","0.47%"
"01/19/2023","379.43","377.09","382.65","373.82","","-0.07%"
"01/18/2023","379.69","379.34","390.41","377.23","","0.27%"
"01/17/2023","378.66","370.14","379.87","368.58","","0.17%"
"01/13/2023","378.04","375.30","378.13","370.46","","0.46%"
"01/12/2023","376.29","373.24","377.54","370.32","","0.73%"
"01/11/2023","373.55","366.83","374.31","365.80","","2.17%"
"01/10/2023","365.62","358.49","365.71","357.82","","1.27%"
"01/09/2023","361.04","355.71","362.61","354.45","","2.95%"
"01/06/2023","350.69","343.20","351.22","340.64","","2.36%"
"01/05/2023","342.62","334.50","343.83","333.70","","2.15%"
"01/04/2023","335.40","339.25","341.27","332.57","","-0.69%"
"01/03/2023","337.73","345.67","347.10","337.51","","-1.15%"
"12/30/2022","341.68","343.24","345.31","340.42","","-0.35%"
"12/29/2022","342.89","344.37","345.40","341.45","","-0.48%"
"12/28/2022","344.54","345.31","347.19","342.93","","0.05%"
"12/27/2022","344.37","346.52","353.42","343.83","","0.83%"
"12/23/2022","341.54","338.45","342.21","337.60","","1.38%"
"12/22/2022","336.88","343.83","345.08","336.52","","-1.39%"
"12/21/2022","341.63","341.81","342.98","339.75","","0.29%"
"12/20/2022","340.64","337.64","343.38","333.92","","0.42%"
"12/19/2022","339.21","339.66","342.30","337.64","","0.57%"
"12/16/2022","337.28","340.87","340.87","334.91","","-0.04%"
"12/15/2022","337.42","343.74","344.72","336.97","","-2.97%"
"12/14/2022","347.73","346.79","348.89","344.10","","0.94%"
"12/13/2022","344.50","343.11","352.30","341.05","","1.09%"
"12/12/2022","340.78","342.62","345.71","339.57","","-2.01%"
"12/09/2022","347.77","349.92","351.81","345.13","","-0.13%"
"12/08/2022","348.22","344.77","350.69","344.46","","0.60%"
"12/07/2022","346.16","342.30","346.34","338.54","","1.11%"
"12/06/2022","342.35","342.44","346.29","340.24","","0.61%"
"12/05/2022","340.29","348.62","349.21","339.57","","-1.44%"
"12/02/2022","345.26","339.03","345.89","336.25","","0.86%"
"12/01/2022","342.30","338.63","342.75","335.04","","2.13%"
"11/30/2022","335.17","326.79","337.42","326.03","","2.71%"
"11/29/2022","326.34","326.21","330.29","325.49","","0.66%"
"11/28/2022","324.19","320.74","325.09","318.27","","-0.41%"
"11/25/2022","325.54","327.46","331.05","324.41","","0.33%"
"11/23/2022","324.46","325.00","328.00","322.53","","0.11%"
"11/22/2022","324.10","323.65","328.90","321.32","","1.08%"
"11/21/2022","320.65","323.97","326.84","319.03","","-1.80%"
"11/18/2022","326.52","331.77","333.11","326.25","","-1.42%"
"11/17/2022","331.23","334.86","338.40","329.79","","-2.11%"
"11/16/2022","338.36","341.99","342.53","336.70","","-1.20%"
"11/15/2022","342.48","344.95","348.09","340.42","","-0.21%"
"11/14/2022","343.20","348.98","350.78","341.32","","-1.88%"
"11/11/2022","349.79","342.78","350.01","341.69","","4.06%"
"11/10/2022","336.14","329.06","338.91","324.83","","1.58%"
"11/09/2022","330.92","327.03","334.86","324.61","","0.45%"
"11/08/2022","329.44","320.87","330.93","318.86","","2.17%"
"11/07/2022","322.44","323.91","327.40","320.24","","-2.25%"
"11/04/2022","329.86","308.16","330.80","307.72","","7.57%"
"11/03/2022","306.64","308.79","309.86","302.53","","-1.20%"
"11/02/2022","310.36","311.39","313.94","308.97","","-0.12%"
"11/01/2022","310.71","305.61","313.26","305.21","","2.89%"
"10/31/2022","301.99","305.97","306.46","300.87","","-1.57%"
"10/28/2022","306.82","313.85","314.11","305.70","","-2.57%"
"10/27/2022","314.92","316.22","318.14","312.64","","-0.72%"
"10/26/2022","317.20","304.27","317.96","304.18","","4.36%"
"10/25/2022","303.96","305.66","306.82","300.92","","-0.98%"
"10/24/2022","306.96","311.39","312.15","306.37","","-1.27%"
"10/21/2022","310.89","303.69","311.34","299.49","","1.88%"
"10/20/2022","305.17","297.07","307.40","295.64","","2.79%"
"10/19/2022","296.89","301.23","301.77","296.17","","-1.31%"
"10/18/2022","300.83","304.99","307.36","299.17","","-1.57%"
"10/17/2022","305.61","307.27","310.04","303.47","","-0.23%"
"10/14/2022","306.33","311.92","313.18","305.12","","-0.49%"
"10/13/2022","307.85","307.09","309.69","300.29","","0.45%"
"10/12/2022","306.46","305.21","310.00","304.09","","-1.07%"
"10/11/2022","309.78","308.08","310.54","302.89","","0.92%"
"10/10/2022","306.96","305.39","311.07","302.97","","1.30%"
"10/07/2022","303.02","306.15","308.34","302.35","","-1.73%"
"10/06/2022","308.34","319.98","321.41","307.05","","-1.56%"
"10/05/2022","313.22","313.35","317.11","308.48","","0.30%"
"10/04/2022","312.28","304.63","315.95","304.41","","2.35%"
"10/03/2022","305.12","304.76","306.37","300.07","","-0.07%"
"09/30/2022","305.35","306.02","310.80","303.87","","-0.16%"
"09/29/2022","305.84","301.32","307.18","295.91","","1.77%"
"09/28/2022","300.51","291.97","301.54","290.27","","2.28%"
"09/27/2022","293.80","295.41","299.98","292.86","","-0.33%"
"09/26/2022","294.79","296.89","301.05","293.04","","-1.45%"
"09/23/2022","299.13","309.69","309.69","297.70","","-3.69%"
"09/22/2022","310.58","309.24","315.01","307.63","","0.12%"
"09/21/2022","310.22","312.41","314.56","309.33","","-1.03%"
"09/20/2022","313.44","315.28","317.34","312.24","","-0.27%"
"09/19/2022","314.29","315.77","315.82","310.94","","-0.11%"
"09/16/2022","314.65","310.45","315.19","306.82","","0.76%"
"09/15/2022","312.28","317.43","317.74","310.71","","-0.84%"
"09/14/2022","314.92","316.31","318.28","313.49","","-1.01%"
"09/13/2022","318.14","323.96","330.27","317.43","","-1.52%"
"09/12/2022","323.06","317.11","324.05","316.04","","1.19%"
"09/09/2022","319.26","321.77","324.67","316.49","","1.16%"
"09/08/2022","315.59","308.25","316.08","308.12","","2.81%"
