"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2023","105.7818","105.4340","105.9400","105.2195","","0.12%"
"08/28/2023","105.6527","105.8324","106.1112","105.4772","","0.17%"
"08/25/2023","105.4753","104.9197","105.5476","104.8466","","0.56%"
"08/24/2023","104.8874","104.4169","104.9739","103.8964","","0.24%"
"08/23/2023","104.6391","104.0348","104.8535","103.6046","","0.68%"
"08/22/2023","103.9352","104.2976","104.6169","103.7973","","-0.31%"
"08/21/2023","104.2595","104.7662","105.1211","104.1537","","0.01%"
"08/18/2023","104.2442","104.2013","104.3357","103.5170","","0.46%"
"08/17/2023","103.7637","103.4170","104.3067","103.2620","","0.32%"
"08/16/2023","103.4349","103.7745","104.2129","103.4176","","-0.36%"
"08/15/2023","103.8041","105.1520","105.4560","103.6989","","-1.23%"
"08/14/2023","105.0976","105.5902","105.6615","104.6793","","-0.46%"
"08/11/2023","105.5861","105.9412","106.0059","105.3783","","-0.27%"
"08/10/2023","105.8719","106.5856","107.0277","105.7595","","-0.63%"
"08/09/2023","106.5389","105.9740","106.7944","105.8921","","0.78%"
"08/08/2023","105.7102","105.5465","105.7439","104.2342","","-0.04%"
"08/07/2023","105.7569","105.9660","106.1432","105.4346","","-0.17%"
"08/04/2023","105.9320","105.8082","106.1901","105.4577","","0.37%"
"08/03/2023","105.5456","105.2032","105.7930","104.7281","","0.50%"
"08/02/2023","105.0157","107.3917","107.4163","104.8216","","-1.54%"
"08/01/2023","106.6636","107.3814","107.3885","106.2412","","-0.63%"
"07/31/2023","107.3396","106.8322","107.3534","106.5197","","0.10%"
"07/28/2023","107.2298","106.7937","107.4575","106.4765","","0.28%"
"07/27/2023","106.9292","108.0334","108.3158","106.7225","","-0.56%"
"07/26/2023","107.5335","107.8252","108.1202","107.3791","","-0.65%"
"07/25/2023","108.2421","107.8350","108.3166","107.2327","","0.55%"
"07/24/2023","107.6541","106.2510","107.9885","106.1545","","1.37%"
"07/21/2023","106.1991","106.3126","106.4835","105.6099","","0.15%"
"07/20/2023","106.0429","105.9114","106.5900","105.7466","","0.49%"
"07/19/2023","105.5207","105.1310","106.0919","104.8736","","0.58%"
"07/18/2023","104.9102","103.8207","105.1275","103.6661","","1.27%"
"07/17/2023","103.5916","104.3093","104.8330","103.5067","","-0.96%"
"07/14/2023","104.5971","104.6295","105.0729","104.1184","","0.08%"
"07/13/2023","104.5159","103.5384","104.5489","103.4485","","1.09%"
"07/12/2023","103.3871","103.5133","104.2857","103.1265","","0.28%"
"07/11/2023","103.1002","102.3246","103.1287","102.2866","","0.93%"
"07/10/2023","102.1541","102.0402","102.5522","101.7562","","0.24%"
"07/07/2023","101.9122","101.4698","102.2883","101.2549","","0.52%"
"07/06/2023","101.3891","102.0950","102.1474","100.8034","","-0.63%"
"07/05/2023","102.0268","101.7175","102.6298","101.4171","","0.76%"
"07/03/2023","101.2527","101.4910","102.0914","101.1980","","-0.22%"
"06/30/2023","101.4785","100.5061","101.9816","100.1906","","1.22%"
"06/29/2023","100.2506","100.4383","100.5166","99.6437","","-0.08%"
"06/28/2023","100.3296","101.1322","101.4767","99.8704","","-0.88%"
"06/27/2023","101.2242","102.6934","102.8303","101.1698","","-1.22%"
"06/26/2023","102.4776","102.7723","103.1621","102.2856","","0.13%"
"06/23/2023","102.3456","102.7267","102.7296","101.5358","","-0.84%"
"06/22/2023","103.2163","104.6320","104.6893","102.7018","","-1.48%"
"06/21/2023","104.7676","103.8979","104.7731","103.2709","","1.10%"
"06/20/2023","103.6242","104.5732","104.8063","103.3047","","-1.44%"
"06/16/2023","105.1417","103.6645","105.1536","103.5666","","1.58%"
"06/15/2023","103.5079","100.6938","103.6351","100.6247","","2.20%"
"06/14/2023","101.2802","100.9674","101.7606","100.9284","","0.17%"
"06/13/2023","101.1083","100.0649","101.3817","99.9358","","1.17%"
"06/12/2023","99.9348","100.5168","100.7829","99.5469","","-1.02%"
"06/09/2023","100.9596","101.1033","101.6158","100.8945","","-0.42%"
"06/08/2023","101.3880","100.4611","101.4941","100.3785","","0.70%"
"06/07/2023","100.6793","100.5361","101.2511","100.0285","","0.25%"
"06/06/2023","100.4277","100.0113","100.5422","99.4832","","0.36%"
"06/05/2023","100.0633","100.1595","100.5514","99.9740","","0.24%"
"06/02/2023","99.8213","99.1250","100.1699","99.0931","","0.63%"
"06/01/2023","99.1922","98.3465","99.4808","98.2207","","1.25%"
"05/31/2023","97.9647","98.0326","98.4631","97.0062","","-0.37%"
"05/30/2023","98.3284","99.9475","100.0004","98.0765","","-1.75%"
"05/26/2023","100.0794","99.1839","100.1483","99.1802","","0.79%"
"05/25/2023","99.2939","100.4965","100.7365","98.7891","","-1.28%"
"05/24/2023","100.5773","100.6537","101.0904","100.1214","","0.08%"
"05/23/2023","100.4944","100.7687","100.9077","100.0328","","-0.38%"
"05/22/2023","100.8743","100.6239","100.9761","100.2571","","-0.20%"
"05/19/2023","101.0741","100.7491","102.2962","100.7294","","0.11%"
"05/18/2023","100.9660","101.3300","101.4827","100.1268","","-0.45%"
"05/17/2023","101.4239","100.9895","101.6489","100.6901","","0.25%"
"05/16/2023","101.1662","102.4868","102.4868","101.0169","","-1.13%"
"05/15/2023","102.3245","101.0229","102.5249","100.9006","","1.13%"
"05/12/2023","101.1839","100.9788","101.6412","100.7804","","0.06%"
"05/11/2023","101.1199","102.6328","102.9235","101.0156","","-1.57%"
"05/10/2023","102.7340","103.4401","103.4756","102.4919","","-0.79%"
"05/09/2023","103.5492","103.2092","103.5984","102.5157","","-0.15%"
"05/08/2023","103.6997","103.0708","104.0235","103.0674","","0.72%"
"05/05/2023","102.9563","101.8080","103.1594","101.6368","","1.28%"
"05/04/2023","101.6529","102.1201","102.1786","101.1014","","0.11%"
"05/03/2023","101.5413","102.2138","102.3350","101.0608","","-0.77%"
"05/02/2023","102.3281","103.7781","103.9006","102.2267","","-1.29%"
"05/01/2023","103.6653","103.8325","104.3389","103.1838","","-0.62%"
"04/28/2023","104.3114","103.4650","104.3721","102.7478","","0.94%"
"04/27/2023","103.3361","103.5045","103.7228","102.8503","","-0.11%"
"04/26/2023","103.4534","104.9254","105.1194","103.4377","","-1.11%"
"04/25/2023","104.6145","106.0333","106.0333","104.6145","","-1.30%"
"04/24/2023","105.9963","105.2414","106.1818","104.9842","","0.40%"
"04/21/2023","105.5753","106.1241","106.3077","105.3244","","-0.77%"
"04/20/2023","106.3893","107.0957","107.1219","105.9382","","-0.88%"
"04/19/2023","107.3306","108.5134","108.5729","107.1013","","-1.31%"
"04/18/2023","108.7529","108.3080","108.8917","107.8672","","0.66%"
"04/17/2023","108.0345","107.9029","108.1772","107.5451","","0.20%"
"04/14/2023","107.8204","108.0679","108.1746","107.0247","","0.09%"
