"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2023","49.5639","49.8507","50.7565","49.5513","","-0.44%"
"08/18/2023","49.7812","49.9525","50.0265","49.4228","","-0.21%"
"08/17/2023","49.8879","50.3420","50.8079","49.8021","","-0.97%"
"08/16/2023","50.3761","50.1058","50.7305","49.9690","","0.48%"
"08/15/2023","50.1339","50.6804","50.9094","49.9829","","-1.13%"
"08/14/2023","50.7048","51.5450","51.6092","50.5064","","-2.01%"
"08/11/2023","51.7473","51.3719","51.8719","50.7125","","0.61%"
"08/10/2023","51.4316","51.1753","51.8081","51.1488","","0.46%"
"08/09/2023","51.1985","51.0229","51.3495","50.9170","","0.35%"
"08/08/2023","51.0205","51.6037","51.6244","50.7418","","-1.15%"
"08/07/2023","51.6134","51.2371","51.9830","50.9059","","0.95%"
"08/04/2023","51.1264","51.8604","51.9369","51.0099","","-1.46%"
"08/03/2023","51.8847","52.3299","52.4682","51.5593","","-0.79%"
"08/02/2023","52.2995","52.3392","52.5367","51.9720","","-0.15%"
"08/01/2023","52.3794","52.0366","52.5163","51.6183","","0.81%"
"07/31/2023","51.9563","50.9061","51.9777","50.8963","","2.05%"
"07/28/2023","50.9134","51.8839","51.9740","50.8697","","-1.74%"
"07/27/2023","51.8169","52.4026","52.5673","51.6182","","-1.15%"
"07/26/2023","52.4185","52.2897","52.4889","52.0370","","-0.02%"
"07/25/2023","52.4273","52.5229","52.5704","52.0968","","-0.22%"
"07/24/2023","52.5412","52.3532","53.1195","52.2315","","0.27%"
"07/21/2023","52.4007","51.5862","52.4789","51.2483","","1.52%"
"07/20/2023","51.6142","50.8193","51.7626","50.7949","","1.56%"
"07/19/2023","50.8229","50.4431","51.1289","50.3195","","0.80%"
"07/18/2023","50.4212","50.3591","50.6544","50.1452","","0.26%"
"07/17/2023","50.2921","51.3092","51.3414","50.1731","","-1.88%"
"07/14/2023","51.2544","50.6405","51.4060","50.6259","","1.20%"
"07/13/2023","50.6442","50.5071","50.9550","50.3773","","0.33%"
"07/12/2023","50.4778","50.2928","50.8291","50.0531","","0.44%"
"07/11/2023","50.2587","50.1729","50.5720","49.5382","","0.30%"
"07/10/2023","50.1060","50.5259","50.5514","49.8004","","-0.87%"
"07/07/2023","50.5478","50.1154","50.8651","49.9701","","0.93%"
"07/06/2023","50.0838","50.1734","50.7833","49.4859","","-0.21%"
"07/05/2023","50.1917","50.3392","50.7557","49.9778","","-0.29%"
"07/03/2023","50.3392","49.5521","50.8105","49.5521","","1.59%"
"06/30/2023","49.5533","49.0966","50.0472","49.0966","","1.00%"
"06/29/2023","49.0638","49.3913","49.5619","48.4488","","-0.62%"
"06/28/2023","49.3718","50.2907","50.5620","49.1743","","-1.81%"
"06/27/2023","50.2821","50.7767","50.8764","49.9104","","-0.97%"
"06/26/2023","50.7755","51.4549","51.9012","50.7321","","-1.23%"
"06/23/2023","51.4062","52.7913","52.8096","51.2561","","-2.74%"
"06/22/2023","52.8522","53.9157","53.9449","52.7741","","-2.00%"
"06/21/2023","53.9327","54.6162","54.7274","53.7517","","-1.19%"
"06/20/2023","54.5821","55.1092","55.1250","54.3531","","-0.98%"
"06/16/2023","55.1250","54.9283","55.2342","54.7521","","0.38%"
"06/15/2023","54.9149","54.3908","55.2870","54.2082","","0.94%"
"06/14/2023","54.4042","53.7779","54.4422","53.6345","","1.13%"
"06/13/2023","53.7986","54.5139","54.7924","53.7543","","-1.31%"
"06/12/2023","54.5122","55.0411","55.6773","54.4377","","-1.05%"
"06/09/2023","55.0880","55.6507","56.3216","54.9995","","-1.02%"
