"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","5.3441","5.5313","5.5313","5.3265","","-3.38%"
"12/29/2023","5.5313","5.5643","5.5797","5.4762","","-0.55%"
"12/28/2023","5.5621","5.5158","5.6017","5.4762","","1.36%"
"12/27/2023","5.4872","5.5929","5.5951","5.4564","","-2.08%"
"12/26/2023","5.6039","5.4278","5.6348","5.3947","","3.24%"
"12/22/2023","5.4278","5.3925","5.4432","5.3881","","0.61%"
"12/21/2023","5.3947","5.4036","5.4300","5.3837","","0.41%"
"12/20/2023","5.3727","5.4872","5.5070","5.3661","","-2.05%"
"12/19/2023","5.4850","5.4696","5.4960","5.3837","","0.93%"
"12/18/2023","5.4344","5.4828","5.5445","5.4168","","-1.95%"
"12/15/2023","5.5423","5.4476","5.5467","5.3815","","2.19%"
"12/14/2023","5.4234","5.3749","5.4564","5.3441","","1.74%"
"12/13/2023","5.3309","5.5026","5.5114","5.3067","","-3.24%"
"12/12/2023","5.5092","5.3661","5.5379","5.3639","","2.62%"
"12/11/2023","5.3683","5.5555","5.5555","5.3507","","-3.52%"
"12/08/2023","5.5643","5.6612","5.6788","5.5379","","-1.64%"
"12/07/2023","5.6568","5.5819","5.6788","5.4784","","1.38%"
"12/06/2023","5.5797","5.5313","5.7118","5.5291","","0.36%"
"12/05/2023","5.5599","5.4388","5.6017","5.4300","","1.73%"
"12/04/2023","5.4652","5.3023","5.5136","5.2913","","2.94%"
"12/01/2023","5.3089","5.2384","5.3705","5.1878","","0.80%"
"11/30/2023","5.2670","5.1768","5.2736","5.1261","","2.09%"
"11/29/2023","5.1591","5.0402","5.1723","5.0336","","2.40%"
"11/28/2023","5.0380","4.9588","5.0468","4.9081","","1.96%"
"11/27/2023","4.9411","5.0755","5.1239","4.8993","","-2.82%"
"11/24/2023","5.0843","5.1481","5.1481","5.0645","","-1.24%"
"11/22/2023","5.1481","5.1834","5.2076","5.1371","","0.30%"
"11/21/2023","5.1327","5.0600","5.1459","5.0094","","2.15%"
"11/20/2023","5.0248","5.0799","5.1063","5.0028","","-0.91%"
"11/17/2023","5.0711","5.1129","5.1525","5.0600","","-0.90%"
"11/16/2023","5.1173","5.1635","5.1768","5.0689","","-1.19%"
"11/15/2023","5.1790","5.2648","5.3221","5.1613","","-1.63%"
"11/14/2023","5.2648","5.3199","5.3595","5.2472","","-0.75%"
"11/13/2023","5.3045","5.2295","5.3329","5.2095","","0.53%"
"11/10/2023","5.2765","5.3244","5.3508","5.2456","","-1.07%"
"11/09/2023","5.3338","5.3762","5.4114","5.2679","","-1.83%"
"11/08/2023","5.4331","5.2665","5.4881","5.2620","","3.77%"
"11/07/2023","5.2356","5.2425","5.3458","5.1828","","-0.96%"
"11/06/2023","5.2861","5.2264","5.3045","5.2035","","0.57%"
"11/03/2023","5.2563","5.1943","5.2723","5.1759","","1.24%"
"11/02/2023","5.1920","5.1713","5.2287","5.1185","","0.67%"
"11/01/2023","5.1576","5.1025","5.1828","5.0933","","0.99%"
"10/31/2023","5.1071","5.1805","5.1805","5.0910","","-1.72%"
"10/30/2023","5.1966","5.2540","5.2976","5.1897","","-1.65%"
